,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,72.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
3,Los Llanos De Aridane,ES,69.55,scattered clouds,28.6585,-17.9182,Valle Aridane
8,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
9,Carnarvon,AU,64.24,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
12,Banda Aceh,ID,78.39,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
15,Hermanus,ZA,72.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Asyut,EG,76.39,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
21,Aubagne,FR,66.4,clear sky,43.2928,5.5707,"The Originals City, Hôtel Le Relais d'Aubagne (Inter-Hotel)"
23,Qazvin,IR,70.88,clear sky,36.2797,50.0049,MarMar Hotel
27,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
29,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
30,Turayf,SA,77.25,clear sky,31.6725,38.6637,Al Mudawah Hotel
32,Saint-Francois,FR,63.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
33,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
39,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,Le four à pain
42,Ipanema,BR,62.65,overcast clouds,-30.1391,-51.2244,Terra e Brisa
44,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
46,Vila Vicosa,PT,71.67,overcast clouds,38.7777,-7.4179,Pousada Convento Vila Viçosa
47,Matara,LK,77.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
49,Victoria,HK,74.32,clear sky,22.2855,114.1577,Mini Central
50,Alghero,IT,68.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
51,Jamestown,US,63.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Anzio,IT,69.98,clear sky,41.4853,12.6179,Hotel Lido Garda
59,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
60,Saint George,US,79.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
