City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tessalit,ML,20.1986,1.0114,91.6,14,70,10.58,broken clouds
1,Upernavik,GL,72.7868,-56.1549,14.92,68,82,4.52,broken clouds
2,Cape Town,ZA,-33.9258,18.4232,72.37,62,0,2.3,clear sky
3,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,86,40,9.22,scattered clouds
4,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,4.61,broken clouds
5,Sawakin,SD,19.1059,37.3321,84.52,71,0,4.68,clear sky
6,Georgetown,MY,5.4112,100.3354,82.24,81,20,0.0,few clouds
7,Qaanaaq,GL,77.484,-69.3632,7.7,63,16,7.81,few clouds
8,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,18,0,24.16,clear sky
9,Carnarvon,AU,-24.8667,113.6333,64.24,66,100,21.47,overcast clouds
10,Lebu,CL,-37.6167,-73.65,52.84,70,3,20.6,clear sky
11,Punta Arenas,CL,-53.15,-70.9167,51.91,50,40,31.07,light rain
12,Banda Aceh,ID,5.5577,95.3222,78.39,83,100,10.02,moderate rain
13,Granard,IE,53.7667,-7.5,45.72,86,100,5.35,overcast clouds
14,Qaqortoq,GL,60.7167,-46.0333,38.93,80,100,14.43,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,72.81,55,100,9.28,overcast clouds
16,Narsaq,GL,60.9167,-46.05,41.22,97,100,8.95,light rain
17,Ushuaia,AR,-54.8,-68.3,51.46,50,40,17.27,scattered clouds
18,Manacapuru,BR,-3.2997,-60.6206,88.27,51,90,3.83,light rain
19,Cockburn Town,TC,21.4612,-71.1419,83.07,74,22,17.34,few clouds
20,Asyut,EG,27.181,31.1837,76.39,42,0,10.16,clear sky
21,Aubagne,FR,43.2928,5.5707,66.4,79,10,1.21,clear sky
22,Alta Floresta,BR,-9.8756,-56.0861,94.82,41,40,5.75,scattered clouds
23,Qazvin,IR,36.2797,50.0049,70.88,17,4,2.19,clear sky
24,Dikson,RU,73.5069,80.5464,34.21,99,100,7.83,overcast clouds
25,Clyde River,CA,70.4692,-68.5914,23.23,86,100,14.97,light snow
26,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,10.33,snow
27,Port Elizabeth,ZA,-33.918,25.5701,72.1,90,0,20.71,clear sky
28,Cidreira,BR,-30.1811,-50.2056,57.31,82,100,14.34,light rain
29,Quatre Cocos,MU,-20.2078,57.7625,71.71,79,37,10.65,scattered clouds
30,Turayf,SA,31.6725,38.6637,77.25,36,0,6.91,clear sky
31,Lenauheim,RO,45.8719,20.7994,60.03,67,97,3.09,overcast clouds
32,Saint-Francois,FR,46.4154,3.9054,63.84,77,0,5.75,clear sky
33,Lamu,KE,-2.2717,40.902,77.22,84,6,13.82,clear sky
34,Manicore,BR,-5.8092,-61.3003,94.01,36,100,4.21,overcast clouds
35,Adrar,MR,20.5022,-10.0711,94.5,19,48,10.63,scattered clouds
36,Praia,CV,14.9215,-23.5087,84.74,58,40,18.41,scattered clouds
37,Abu Dhabi,AE,24.4667,54.3667,87.82,67,0,4.61,clear sky
38,Mar Del Plata,AR,-38.0023,-57.5575,56.95,72,0,21.0,clear sky
39,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,15,8.52,few clouds
40,Natal,BR,-5.795,-35.2094,83.05,69,40,20.71,scattered clouds
41,San Felipe,VE,10.3399,-68.7425,86.63,61,95,2.19,overcast clouds
42,Ipanema,BR,-30.1391,-51.2244,62.65,60,100,17.27,overcast clouds
43,Jurm,AF,36.8648,70.8342,49.24,30,0,1.19,clear sky
44,Ribeira Grande,PT,38.5167,-28.7,77.4,69,20,4.61,few clouds
45,Yizhivtsi,UA,48.0396,25.6623,47.86,74,0,5.61,clear sky
46,Vila Vicosa,PT,38.7777,-7.4179,71.67,60,100,3.85,overcast clouds
47,Matara,LK,5.9485,80.5353,77.25,89,100,7.72,overcast clouds
48,Ilulissat,GL,69.2167,-51.1,28.42,69,75,2.3,broken clouds
49,Victoria,HK,22.2855,114.1577,74.32,44,3,3.0,clear sky
50,Alghero,IT,40.5589,8.3181,68.09,94,0,2.3,clear sky
